driverId,name,ssn,location,certified,wage-plan
10,Andrew Hayes,206-13-2890,"72149 Theresa Hills Apt. 355
Stevenbury, NC 87642",N,miles
11,Justin Hall,843-18-7678,"54123 Franklin Forest Suite 384
Port Jeremy, NY 00683",Y,miles
12,Ryan Anderson,712-23-3292,"1801 Nicole Terrace
Allenshire, MP 46893",N,hours
13,Victoria Pham MD,518-51-0513,"USCGC Perry
FPO AA 76895",Y,miles
14,Kaitlyn Small,229-36-1628,"8835 Sarah Mountains
Port Dominiquetown, MH 56302",N,hours
15,Stephanie Walker DDS,535-23-5998,"75483 Johnson Prairie
Julieberg, CO 57562",N,miles
16,Brittany Rice,528-05-2433,"3711 Abbott Fork
Campbellbury, AL 72781",Y,hours
17,Ricardo Haynes,030-57-2883,"76225 Stephen Village Suite 054
Katherineton, SD 54477",Y,hours
18,Kayla Owen,567-38-0527,"922 Wright Heights
North Mariachester, ND 31431",Y,miles
19,Gary Gates,131-58-1481,"PSC 2008, Box 2848
APO AE 42693",Y,miles
20,Kristin Duncan,320-48-9697,"83767 Wilson Drives Apt. 869
Lake James, ME 22043",N,miles
21,Michael Blevins,739-99-1576,"27903 Duncan Lane
Figueroaview, DE 24395",Y,hours
22,Scott Sanchez,177-25-9033,"94676 Julie Valley Apt. 244
Perkinsfort, AK 02754",Y,hours
23,Devon Wilson,858-22-6461,"293 Mcbride Radial Apt. 721
Lambertstad, MO 33447",N,miles
24,Samuel Wilson,675-75-9613,"95968 Roberts Points
Hicksport, MN 50571",Y,hours
25,Elijah Lambert,125-57-8671,"925 Miller Wall Apt. 086
Daniellemouth, NV 28834",N,hours
26,Andrea Bennett,866-31-1945,"2325 Bruce Wells
West Connor, DE 63412",N,hours
27,Jeffery Elliott,328-45-9123,"958 Lowe Squares Apt. 926
Coxhaven, KY 58788",N,hours
28,Richard Robles,609-85-4652,"98789 Jordan Lights Apt. 013
Lake Kevinchester, AK 35599",Y,hours
29,John Bruce,862-27-4311,"7520 Dominguez Coves Suite 094
Lake Lindaport, MO 32081",Y,miles
30,Brett Walker,479-54-3354,"356 Rita Inlet
Mendezburgh, IN 53754",N,hours
31,Tammy Sharp,289-34-2177,"2557 Deborah Vista Suite 706
Lindseyhaven, RI 46716",N,miles
32,Andrea Gonzales,060-71-7489,"34317 Randall Orchard
Katelynstad, ID 71132",Y,hours
33,Michael Lopez MD,799-01-1362,"921 King Ways Suite 790
Daniellestad, CA 55729",Y,miles
34,Sarah Walker,551-51-0456,"8411 Marshall Islands Apt. 955
Brownbury, KY 94691",Y,hours
35,Eric Hawkins,255-09-1012,"479 Montgomery Dale Suite 075
Millerstad, OK 60693",N,hours
36,Felicia Schultz,732-38-2449,"703 Ann Crossing Suite 799
East Jonathanborough, AZ 80095",Y,hours
37,Valerie Pollard,693-26-9029,"31163 Stephanie Roads
Harrisonhaven, CT 23332",Y,hours
38,Kelsey Novak,392-02-6511,"46813 Ramirez Spring Apt. 153
Nicholsmouth, OH 78517",Y,miles
39,Jeffery Blanchard,602-90-6485,"4560 Padilla View
Veronicaville, MH 66081",Y,miles
40,Timothy Charles,009-36-7313,"911 Timothy Loop
Coopermouth, MA 75931",N,hours
